ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_MUNICIPIO_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
2020,VITÓRIA DA CONQUISTA,VEREADOR,10555,10,REPUBLICANOS,SÃO PAULO,36,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,70133,70,AVANTE,VITÓRIA DA CONQUISTA,36,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,36442,36,PTC,ANAGÉ,53,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,19345,19,PODE,VITÓRIA DA CONQUISTA,41,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,65333,65,PC do B,ITAPETINGA,42,FEMININO,SUPERIOR COMPLETO,PRETA,VEREADOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,51190,51,PATRIOTA,VITÓRIA DA CONQUISTA,44,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES"
2020,VITÓRIA DA CONQUISTA,VEREADOR,19232,19,PODE,ITARANTIM,53,FEMININO,LÊ E ESCREVE,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,19192,19,PODE,VITÓRIA DA CONQUISTA,57,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,ELETRICISTA E ASSEMELHADOS
2020,VITÓRIA DA CONQUISTA,VEREADOR,51345,51,PATRIOTA,VITÓRIA DA CONQUISTA,48,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,10222,10,REPUBLICANOS,PIANCÓ,49,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,VEREADOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,14188,14,PTB,VITÓRIA DA CONQUISTA,39,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
