NM_UE,SQ_CANDIDATO,DS_TIPO_BEM_CANDIDATO,VR_BEM_CANDIDATO
VITÓRIA DA CONQUISTA,50000637042,Quotas ou quinhões de capital,3452.85
VITÓRIA DA CONQUISTA,50000637042,Casa,300000.0
VITÓRIA DA CONQUISTA,50000637042,Terra nua,200000.0
VITÓRIA DA CONQUISTA,50000637042,Terra nua,3000.0
VITÓRIA DA CONQUISTA,50000637042,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",112033.4
VITÓRIA DA CONQUISTA,50000637042,Terreno,100000.0
VITÓRIA DA CONQUISTA,50000637056,Terreno,12000.0
VITÓRIA DA CONQUISTA,50000637056,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",15000.0
VITÓRIA DA CONQUISTA,50000637058,Casa,100000.0
VITÓRIA DA CONQUISTA,50000637059,Apartamento,280000.0
VITÓRIA DA CONQUISTA,50000637060,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",47694.0
VITÓRIA DA CONQUISTA,50000637060,Casa,500000.0
VITÓRIA DA CONQUISTA,50000637060,Caderneta de poupança,3506.33
VITÓRIA DA CONQUISTA,50000637060,Depósito bancário em conta corrente no País,1947.39
VITÓRIA DA CONQUISTA,50000637060,Linha telefônica,500.0
VITÓRIA DA CONQUISTA,50000637060,Linha telefônica,600.0
VITÓRIA DA CONQUISTA,50000637060,OUTROS BENS E DIREITOS,1900.0
VITÓRIA DA CONQUISTA,50000637060,OUTROS BENS E DIREITOS,950.0
VITÓRIA DA CONQUISTA,50000637056,Casa,300000.0
VITÓRIA DA CONQUISTA,50000637057,Casa,60000.0
VITÓRIA DA CONQUISTA,50000637059,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",15000.0
VITÓRIA DA CONQUISTA,50000637060,Quotas ou quinhões de capital,1056.15
VITÓRIA DA CONQUISTA,50000701061,Apartamento,250000.0
VITÓRIA DA CONQUISTA,50000701061,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",8000.0
VITÓRIA DA CONQUISTA,50000701066,Casa,360000.0
VITÓRIA DA CONQUISTA,50000701068,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",17000.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,2163.55
VITÓRIA DA CONQUISTA,50000701068,Terreno,3379.96
VITÓRIA DA CONQUISTA,50000701068,Terreno,5574.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,56199.87
VITÓRIA DA CONQUISTA,50000701068,Terreno,828.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,684.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,684.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,910.8
VITÓRIA DA CONQUISTA,50000701069,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",5000.0
VITÓRIA DA CONQUISTA,50000701069,Terreno,15000.0
VITÓRIA DA CONQUISTA,50000701074,Casa,120000.0
VITÓRIA DA CONQUISTA,50000701077,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",94000.0
VITÓRIA DA CONQUISTA,50000701077,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18600.0
VITÓRIA DA CONQUISTA,50000701077,Casa,200000.0
VITÓRIA DA CONQUISTA,50000701077,Terreno,10000.0
VITÓRIA DA CONQUISTA,50000701077,Terreno,135276.5
VITÓRIA DA CONQUISTA,50000701078,Terreno,2500.0
VITÓRIA DA CONQUISTA,50000701078,Terreno,206510.04
VITÓRIA DA CONQUISTA,50000701078,Terreno,36000.0
VITÓRIA DA CONQUISTA,50000701078,Terreno,20000.0
VITÓRIA DA CONQUISTA,50000701078,Terreno,80000.0
VITÓRIA DA CONQUISTA,50000701078,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000701078,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",47217.24
VITÓRIA DA CONQUISTA,50000701079,Terreno,35000.0
VITÓRIA DA CONQUISTA,50000701079,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",36000.0
VITÓRIA DA CONQUISTA,50000701080,Prédio residencial,755996.0
VITÓRIA DA CONQUISTA,50000701083,Casa,30000.0
VITÓRIA DA CONQUISTA,50000701084,Terreno,20000.0
VITÓRIA DA CONQUISTA,50000701087,Terreno,60000.0
VITÓRIA DA CONQUISTA,50000701087,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",45452.99
VITÓRIA DA CONQUISTA,50000701087,"Aplicação de renda fixa (CDB, RDB e outros)",184.0
VITÓRIA DA CONQUISTA,50000701087,Outros créditos e poupança vinculados,111.99
VITÓRIA DA CONQUISTA,50000701088,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701089,Apartamento,271348.75
VITÓRIA DA CONQUISTA,50000701089,Apartamento,150000.0
VITÓRIA DA CONQUISTA,50000701089,Terreno,110367.0
VITÓRIA DA CONQUISTA,50000701089,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",60000.0
VITÓRIA DA CONQUISTA,50000701089,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",27566.9
VITÓRIA DA CONQUISTA,50000701091,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701092,Casa,80000.0
VITÓRIA DA CONQUISTA,50000701061,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18000.0
VITÓRIA DA CONQUISTA,50000701068,Terreno,684.0
VITÓRIA DA CONQUISTA,50000701069,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",4600.0
VITÓRIA DA CONQUISTA,50000701079,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701081,Outros bens móveis,2500.0
VITÓRIA DA CONQUISTA,50000701085,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",21232.0
VITÓRIA DA CONQUISTA,50000701069,Terreno,6800.0
VITÓRIA DA CONQUISTA,50000701073,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701077,VGBL - Vida Gerador de Benefício Livre,26600.0
VITÓRIA DA CONQUISTA,50000701078,Casa,120000.0
VITÓRIA DA CONQUISTA,50000701084,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",7000.0
VITÓRIA DA CONQUISTA,50000701087,Depósito bancário em conta corrente no País,4.26
VITÓRIA DA CONQUISTA,50000701089,Construção,95000.0
VITÓRIA DA CONQUISTA,50000701260,Casa,130000.0
VITÓRIA DA CONQUISTA,50000701261,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",80000.0
VITÓRIA DA CONQUISTA,50000701261,Outros fundos,226000.0
VITÓRIA DA CONQUISTA,50000701261,Outros fundos,6000.0
VITÓRIA DA CONQUISTA,50000701261,Apartamento,60000.0
VITÓRIA DA CONQUISTA,50000701261,Casa,47000.0
VITÓRIA DA CONQUISTA,50000701261,Consórcio não contemplado,150899.0
VITÓRIA DA CONQUISTA,50000701261,Depósito bancário em conta corrente no País,7088.96
VITÓRIA DA CONQUISTA,50000701261,Outros bens imóveis,25000.0
VITÓRIA DA CONQUISTA,50000701261,Outros bens imóveis,20000.0
VITÓRIA DA CONQUISTA,50000701261,Outros bens imóveis,132462.73
VITÓRIA DA CONQUISTA,50000701261,Outras participações societárias,13488.42
VITÓRIA DA CONQUISTA,50000701261,Benfeitorias,116205.0
VITÓRIA DA CONQUISTA,50000701261,Outros fundos,60000.0
VITÓRIA DA CONQUISTA,50000701261,Outros fundos,800.0
VITÓRIA DA CONQUISTA,50000701261,Apartamento,85000.0
VITÓRIA DA CONQUISTA,50000701261,Dinheiro em espécie - moeda nacional,5000.0
VITÓRIA DA CONQUISTA,50000701261,Outras participações societárias,11000.0
VITÓRIA DA CONQUISTA,50000701262,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701264,Outros bens imóveis,52000.0
VITÓRIA DA CONQUISTA,50000701265,Outros bens imóveis,70000.0
VITÓRIA DA CONQUISTA,50000701265,Terreno,20000.0
VITÓRIA DA CONQUISTA,50000701265,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",16000.0
VITÓRIA DA CONQUISTA,50000701266,Terreno,60000.0
VITÓRIA DA CONQUISTA,50000701267,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",5000.0
VITÓRIA DA CONQUISTA,50000701267,Casa,150000.0
VITÓRIA DA CONQUISTA,50000701268,Casa,250000.0
VITÓRIA DA CONQUISTA,50000701268,Terreno,15000.0
VITÓRIA DA CONQUISTA,50000701268,Terreno,5000.0
VITÓRIA DA CONQUISTA,50000701268,Terreno,3000.0
VITÓRIA DA CONQUISTA,50000701269,Casa,150000.0
VITÓRIA DA CONQUISTA,50000701270,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701270,Outros bens imóveis,70000.0
VITÓRIA DA CONQUISTA,50000701270,Outros bens imóveis,500000.0
VITÓRIA DA CONQUISTA,50000701270,Sala ou conjunto,10000.0
VITÓRIA DA CONQUISTA,50000701270,Sala ou conjunto,10000.0
